"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.0.3","10.0.0.2","TCP","74","44120  >  34568 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=575208799 TSecr=0 WS=512"
"2","0.151357243","10.0.0.2","10.0.0.3","TCP","74","34568  >  44120 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=2997797706 TSecr=575208799 WS=512"
"3","0.202040999","10.0.0.3","10.0.0.2","TCP","66","44120  >  34568 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=575209001 TSecr=2997797706"
"4","0.227033309","10.0.0.3","10.0.0.2","TCP","2962","44120  >  34568 [PSH, ACK] Seq=1 Ack=1 Win=42496 Len=2896 TSval=575209001 TSecr=2997797706"
"5","0.250517356","10.0.0.3","10.0.0.2","TCP","2962","44120  >  34568 [PSH, ACK] Seq=2897 Ack=1 Win=42496 Len=2896 TSval=575209001 TSecr=2997797706"
"6","0.275038008","10.0.0.3","10.0.0.2","TCP","2962","44120  >  34568 [PSH, ACK] Seq=5793 Ack=1 Win=42496 Len=2896 TSval=575209001 TSecr=2997797706"
"7","0.299128688","10.0.0.3","10.0.0.2","TCP","2962","44120  >  34568 [PSH, ACK] Seq=8689 Ack=1 Win=42496 Len=2896 TSval=575209001 TSecr=2997797706"
"8","0.323622644","10.0.0.3","10.0.0.2","TCP","2962","44120  >  34568 [PSH, ACK] Seq=11585 Ack=1 Win=42496 Len=2896 TSval=575209001 TSecr=2997797706"
"9","0.377987416","10.0.0.2","10.0.0.3","TCP","66","34568  >  44120 [ACK] Seq=1 Ack=2897 Win=41984 Len=0 TSval=2997797933 TSecr=575209001"
"10","0.402141157","10.0.0.2","10.0.0.3","TCP","66","34568  >  44120 [ACK] Seq=1 Ack=5793 Win=41984 Len=0 TSval=2997797957 TSecr=575209001"
"11","0.426140469","10.0.0.2","10.0.0.3","TCP","66","34568  >  44120 [ACK] Seq=1 Ack=8689 Win=41984 Len=0 TSval=2997797981 TSecr=575209001"
"12","0.453760884","10.0.0.3","10.0.0.2","TCP","2962","44120  >  34568 [PSH, ACK] Seq=14481 Ack=1 Win=42496 Len=2896 TSval=575209227 TSecr=2997797933"
"13","0.474241002","10.0.0.2","10.0.0.3","TCP","66","34568  >  44120 [ACK] Seq=1 Ack=11585 Win=41984 Len=0 TSval=2997798022 TSecr=575209001"
"14","0.476730529","10.0.0.3","10.0.0.2","TCP","2962","44120  >  34568 [PSH, ACK] Seq=17377 Ack=1 Win=42496 Len=2896 TSval=575209227 TSecr=2997797933"
"15","0.492024457","10.0.0.2","10.0.0.3","TCP","66","34568  >  44120 [ACK] Seq=1 Ack=14481 Win=41984 Len=0 TSval=2997798047 TSecr=575209001"
"16","0.500904828","10.0.0.3","10.0.0.2","TCP","2962","44120  >  34568 [PSH, ACK] Seq=20273 Ack=1 Win=42496 Len=2896 TSval=575209252 TSecr=2997797957"
"17","0.525238316","10.0.0.3","10.0.0.2","TCP","2962","44120  >  34568 [PSH, ACK] Seq=23169 Ack=1 Win=42496 Len=2896 TSval=575209252 TSecr=2997797957"
"18","0.549510583","10.0.0.3","10.0.0.2","TCP","2962","44120  >  34568 [PSH, ACK] Seq=26065 Ack=1 Win=42496 Len=2896 TSval=575209276 TSecr=2997797981"
"19","0.573539947","10.0.0.3","10.0.0.2","TCP","2962","44120  >  34568 [PSH, ACK] Seq=28961 Ack=1 Win=42496 Len=2896 TSval=575209276 TSecr=2997797981"
"20","0.598101630","10.0.0.3","10.0.0.2","TCP","2962","44120  >  34568 [PSH, ACK] Seq=31857 Ack=1 Win=42496 Len=2896 TSval=575209324 TSecr=2997798022"
"21","0.604559230","10.0.0.2","10.0.0.3","TCP","66","34568  >  44120 [ACK] Seq=1 Ack=17377 Win=41984 Len=0 TSval=2997798159 TSecr=575209227"
"22","0.609774816","10.0.0.3","10.0.0.2","TCP","1514","44120  >  34568 [ACK] Seq=34753 Ack=1 Win=42496 Len=1448 TSval=575209324 TSecr=2997798022"
"23","0.628105334","10.0.0.2","10.0.0.3","TCP","66","34568  >  44120 [ACK] Seq=1 Ack=20273 Win=48128 Len=0 TSval=2997798183 TSecr=575209227"
"24","0.634105909","10.0.0.3","10.0.0.2","TCP","2962","44120  >  34568 [PSH, ACK] Seq=36201 Ack=1 Win=42496 Len=2896 TSval=575209342 TSecr=2997798047"
"25","0.651384238","10.0.0.2","10.0.0.3","TCP","66","34568  >  44120 [ACK] Seq=1 Ack=23169 Win=54272 Len=0 TSval=2997798206 TSecr=575209252"
"26","0.658294097","10.0.0.3","10.0.0.2","TCP","2962","44120  >  34568 [PSH, ACK] Seq=39097 Ack=1 Win=42496 Len=2896 TSval=575209342 TSecr=2997798047"
"27","0.670483989","10.0.0.3","10.0.0.2","TCP","1514","44120  >  34568 [ACK] Seq=41993 Ack=1 Win=42496 Len=1448 TSval=575209342 TSecr=2997798047"
"28","0.678208378","10.0.0.2","10.0.0.3","TCP","66","34568  >  44120 [ACK] Seq=1 Ack=26065 Win=59904 Len=0 TSval=2997798233 TSecr=575209252"
"29","0.694590958","10.0.0.3","10.0.0.2","TCP","2962","44120  >  34568 [PSH, ACK] Seq=43441 Ack=1 Win=42496 Len=2896 TSval=575209454 TSecr=2997798159"
"30","0.701061355","10.0.0.2","10.0.0.3","TCP","66","34568  >  44120 [ACK] Seq=1 Ack=28961 Win=65536 Len=0 TSval=2997798256 TSecr=575209276"
"31","0.718753465","10.0.0.3","10.0.0.2","TCP","2962","44120  >  34568 [PSH, ACK] Seq=46337 Ack=1 Win=42496 Len=2896 TSval=575209454 TSecr=2997798159"
"32","0.724563899","10.0.0.2","10.0.0.3","TCP","66","34568  >  44120 [ACK] Seq=1 Ack=31857 Win=71680 Len=0 TSval=2997798279 TSecr=575209276"
"33","0.742971946","10.0.0.3","10.0.0.2","TCP","2962","44120  >  34568 [PSH, ACK] Seq=49233 Ack=1 Win=42496 Len=2896 TSval=575209478 TSecr=2997798183"
"34","0.767700974","10.0.0.3","10.0.0.2","TCP","2962","44120  >  34568 [PSH, ACK] Seq=52129 Ack=1 Win=42496 Len=2896 TSval=575209478 TSecr=2997798183"
"35","0.767944390","10.0.0.2","10.0.0.3","TCP","66","34568  >  44120 [ACK] Seq=1 Ack=34753 Win=77312 Len=0 TSval=2997798323 TSecr=575209324"
"36","0.792208347","10.0.0.3","10.0.0.2","TCP","2962","44120  >  34568 [PSH, ACK] Seq=55025 Ack=1 Win=42496 Len=2896 TSval=575209501 TSecr=2997798206"
