"No.","Time","Source","Destination","Protocol","Length","Info"
"145","6.128236119","10.0.0.1","10.0.0.2","TCP","2962","34382  >  34567 [PSH, ACK] Seq=166521 Ack=1 Win=42496 Len=2896 TSval=3528859401 TSecr=937267033"
"146","6.145999186","10.0.0.2","10.0.0.1","TCP","66","34567  >  34382 [ACK] Seq=1 Ack=160729 Win=134656 Len=0 TSval=937267153 TSecr=3528858900"
"147","6.220275212","10.0.0.1","10.0.0.2","TCP","2962","34382  >  34567 [PSH, ACK] Seq=169417 Ack=1 Win=42496 Len=2896 TSval=3528859517 TSecr=937267153"
"148","6.303531393","10.0.0.2","10.0.0.1","TCP","66","34567  >  34382 [ACK] Seq=1 Ack=163625 Win=134656 Len=0 TSval=937267311 TSecr=3528859057"
"149","6.669336055","10.0.0.2","10.0.0.1","TCP","66","34567  >  34382 [ACK] Seq=1 Ack=166521 Win=134656 Len=0 TSval=937267674 TSecr=3528859401"
"150","6.719495955","10.0.0.2","10.0.0.1","TCP","66","34567  >  34382 [ACK] Seq=1 Ack=169417 Win=134656 Len=0 TSval=937267727 TSecr=3528859401"
"151","6.744494016","10.0.0.1","10.0.0.2","TCP","2962","[TCP Previous segment not captured] 34382  >  34567 [PSH, ACK] Seq=175209 Ack=1 Win=42496 Len=2896 TSval=3528860040 TSecr=937267674"
"152","6.767962851","10.0.0.1","10.0.0.2","TCP","2962","34382  >  34567 [PSH, ACK] Seq=178105 Ack=1 Win=42496 Len=2896 TSval=3528860040 TSecr=937267674"
"153","6.795009386","10.0.0.1","10.0.0.2","TCP","2962","34382  >  34567 [PSH, ACK] Seq=181001 Ack=1 Win=42496 Len=2896 TSval=3528860090 TSecr=937267727"
"154","6.811547034","10.0.0.2","10.0.0.1","TCP","66","34567  >  34382 [ACK] Seq=1 Ack=172313 Win=134656 Len=0 TSval=937267819 TSecr=3528859517"
"155","6.885942383","10.0.0.1","10.0.0.2","TCP","2962","34382  >  34567 [PSH, ACK] Seq=183897 Ack=1 Win=42496 Len=2896 TSval=3528860183 TSecr=937267819"
"156","6.910211618","10.0.0.1","10.0.0.2","TCP","2962","34382  >  34567 [PSH, ACK] Seq=186793 Ack=1 Win=42496 Len=2896 TSval=3528860183 TSecr=937267819"
"157","7.233650004","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 154#1] 34567  >  34382 [ACK] Seq=1 Ack=172313 Win=134656 Len=0 TSval=937268241 TSecr=3528859517 SLE=175209 SRE=178105"
"158","7.257212227","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 154#2] 34567  >  34382 [ACK] Seq=1 Ack=172313 Win=134656 Len=0 TSval=937268265 TSecr=3528859517 SLE=175209 SRE=181001"
"159","7.282145826","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 154#3] 34567  >  34382 [ACK] Seq=1 Ack=172313 Win=134656 Len=0 TSval=937268289 TSecr=3528859517 SLE=175209 SRE=183897"
"160","7.295937925","10.0.0.1","10.0.0.2","TCP","1514","[TCP Fast Retransmission] 34382  >  34567 [ACK] Seq=172313 Ack=1 Win=42496 Len=1448 TSval=3528860605 TSecr=937268241"
"161","7.307003643","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 154#4] 34567  >  34382 [ACK] Seq=1 Ack=172313 Win=134656 Len=0 TSval=937268313 TSecr=3528859517 SLE=175209 SRE=186793"
"162","7.319438052","10.0.0.1","10.0.0.2","TCP","1514","[TCP Retransmission] 34382  >  34567 [ACK] Seq=173761 Ack=1 Win=42496 Len=1448 TSval=3528860628 TSecr=937268265"
"163","7.331929648","10.0.0.1","10.0.0.2","TCP","1514","34382  >  34567 [ACK] Seq=189689 Ack=1 Win=42496 Len=1448 TSval=3528860628 TSecr=937268265"
"164","7.332223167","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 154#5] 34567  >  34382 [ACK] Seq=1 Ack=172313 Win=134656 Len=0 TSval=937268338 TSecr=3528859517 SLE=175209 SRE=189689"
"165","7.356638736","10.0.0.1","10.0.0.2","TCP","2962","34382  >  34567 [PSH, ACK] Seq=191137 Ack=1 Win=42496 Len=2896 TSval=3528860653 TSecr=937268289"
"166","7.382409009","10.0.0.1","10.0.0.2","TCP","2962","34382  >  34567 [PSH, ACK] Seq=194033 Ack=1 Win=42496 Len=2896 TSval=3528860678 TSecr=937268313"
"167","7.406810352","10.0.0.1","10.0.0.2","TCP","2962","34382  >  34567 [PSH, ACK] Seq=196929 Ack=1 Win=42496 Len=2896 TSval=3528860703 TSecr=937268338"
